animal_id,nome,especie,raca_femea,linhagem,data_nascimento,idade_anos,peso_kg,condicao_corporal,num_partos_anteriores,intervalo_pos_parto_dias,fazenda,municipio,data_inseminacao,mes_inseminacao,ano_inseminacao,trimestre,estacao,tipo_inseminacao,raca_reprodutor,reprodutor_id,empresa_semem,protocolo_hormonal,dias_desde_ultima_ins,temperatura_ambiente_c,tecnico,probabilidade_prenhez_ia,resultado
BOV-0009,Glória,Bovino,Sindi,Linhagem F,2016-01-09,8.2,515.5,3,5,279,Fazenda Palmeira,Crateús,2024-03-10,3,2024,1,Chuvosa,IATF,Senepol,REP-008,CRV Lagoa,Sem protocolo,24,22.2,João Silva,0.6731,Prenha
CAP-0002,Íris,Caprino,Anglo Nubiana,Linhagem B,2016-08-20,8.2,30.5,2,6,150,Sítio Mandacaru,Crateús,2024-11-06,11,2024,4,Chuvosa,IATF,Boer,REP-054,Próprio,Sem protocolo,56,20.6,Ana Lima,0.5543,Nao_Prenha
BOV-0010,Rosa,Bovino,Sindi,Linhagem H,2020-06-09,2.3,374.9,4,0,,Fazenda Palmeira,Tamboril,2022-09-26,9,2022,3,Seca,IATF,Gir,REP-034,Alta Genetics,GnRH+PGF2α,6,28.1,Maria Souza,0.6055,Nao_Prenha
CAP-0003,Eva,Caprino,Boer,Linhagem B,2019-03-13,3.7,54.0,4,2,300,Fazenda Bela Vista,Nova Russas,2022-11-20,11,2022,4,Chuvosa,IATF,Alpino,REP-014,Próprio,GnRH+PGF2α,6,32.7,Carlos Melo,0.6505,Nao_Prenha
BOV-0011,Rosa,Bovino,Sindi,Sem registro,2021-09-01,3.1,295.2,4,1,52,Sítio Riacho Seco,Catunda,2024-09-27,9,2024,3,Seca,IATF,Senepol,REP-072,CRV Lagoa,Ovsynch,5,25.3,Carlos Melo,0.5475,Prenha
CAP-0004,Graça,Caprino,Repartida,Linhagem F,2022-02-12,0.1,49.6,3,0,,Sítio São Francisco,Ipaporanga,2022-03-15,3,2022,1,Chuvosa,IA Convencional,Saanen,REP-072,Insitec,Cosynch,10,24.8,Fernanda Costa,0.6321,Nao_Prenha
BOV-0012,Íris,Bovino,Nelore,Linhagem D,2017-12-26,6.3,501.0,3,3,157,Sítio Riacho Seco,Tamboril,2024-04-24,4,2024,2,Chuvosa,IA Convencional,Angus,REP-059,Sexing Tech,P4+EB,39,21.5,Roberto Neto,0.8164,Nao_Prenha
CAP-0005,Orquídea,Caprino,Boer,Linhagem C,2016-04-06,6.8,38.3,2,2,209,Sítio Três Irmãos,Nova Russas,2023-01-31,1,2023,1,Chuvosa,IATF,Saanen,REP-075,Sexing Tech,P4+EB,87,29.2,Fernanda Costa,0.7615,Prenha
BOV-0013,Viola,Bovino,Brahman,Linhagem H,2017-04-18,6.9,293.3,4,4,130,Sítio Três Irmãos,Nova Russas,2024-02-28,2,2024,1,Chuvosa,IA Convencional,Brahman,REP-040,Próprio,Sem protocolo,51,27.5,Juliana Pinto,0.7936,Prenha
OVI-0003,Fada,Ovino,Bergamácia,Linhagem F,2018-02-24,6.2,61.1,5,4,184,Sítio São Francisco,Quiterianópolis,2024-05-11,5,2024,2,Seca,IA Convencional,Suffolk,REP-060,Geneal,IATF 7 dias,56,30.1,Carlos Melo,0.6731,Nao_Prenha
CAP-0006,Íris,Caprino,Moxotó,Linhagem B,2016-12-13,6.6,40.4,4,1,188,Sítio São Francisco,Ararendá,2023-08-05,8,2023,3,Seca,IATF,Alpino,REP-059,Geneal,P4+EB,33,35.7,João Silva,0.8266,Prenha
BOV-0014,Hera,Bovino,Nelore,Linhagem B,2018-09-26,4.1,538.1,5,1,142,Fazenda Palmeira,Tamboril,2022-10-30,10,2022,4,Seca,IATF,Senepol,REP-059,Alta Genetics,P4+EB,27,35.7,Luciana Reis,0.7465,Prenha
CAP-0007,Nina,Caprino,Repartida,Linhagem G,2021-08-29,2.7,44.5,3,1,260,Sítio São Francisco,Nova Russas,2024-05-23,5,2024,2,Seca,IA Convencional,Alpino,REP-010,Próprio,Resynch,38,34.5,Marcos Farias,0.4809,Prenha
BOV-0015,Cida,Bovino,Girolando,Sem registro,2016-11-26,5.9,394.9,3,1,62,Fazenda Boa Esperança,Tamboril,2022-10-11,10,2022,4,Seca,IATF,Angus,REP-050,Insitec,P4+BE+PGF,58,27.0,Luciana Reis,0.9129,Prenha
BOV-0016,Duna,Bovino,Tabapuã,Linhagem C,2019-05-08,4.8,504.3,4,1,279,Sítio Boa Sorte,Quiterianópolis,2024-03-09,3,2024,1,Chuvosa,IA Convencional,Simmental,REP-060,Alta Genetics,P4+BE+PGF,33,24.0,João Silva,0.8433,Prenha
BOV-0017,Estrela,Bovino,Girolando,Linhagem B,2016-12-09,7.5,418.5,2,3,197,Fazenda Poço Fundo,Nova Russas,2024-05-27,5,2024,2,Seca,IA Convencional,Senepol,REP-061,CRV Lagoa,IATF 7 dias,32,28.0,Roberto Neto,0.7364,Prenha
CAP-0008,Bonita,Caprino,Saanen,Linhagem B,2016-05-07,7.0,51.0,3,3,88,Fazenda Bela Vista,Poranga,2023-05-22,5,2023,2,Seca,IA Convencional,Anglo Nubiano,REP-021,Sexing Tech,Sem protocolo,77,38.9,Carlos Melo,0.46,Nao_Prenha
CAP-0009,Glória,Caprino,Anglo Nubiana,Linhagem H,2020-06-12,2.7,53.6,4,0,,Fazenda Boa Esperança,Monsenhor Tabosa,2023-02-11,2,2023,1,Chuvosa,IATF,Alpino,REP-055,Próprio,Sem protocolo,94,35.0,Maria Souza,0.8055,Prenha
BOV-0018,Sara,Bovino,Guzerá,Sem registro,2017-03-08,7.2,547.5,4,1,252,Sítio Riacho Seco,Ararendá,2024-06-06,6,2024,2,Seca,IA Convencional,Bonsmara,REP-076,Sexing Tech,Select Synch,27,34.1,Juliana Pinto,0.7303,Nao_Prenha
CAP-0010,Aurora,Caprino,Saanen,Linhagem F,2019-02-16,5.4,49.1,4,2,44,Sítio Boa Sorte,Nova Russas,2024-07-12,7,2024,3,Seca,IATF,Toggenburg,REP-036,Grupo Nelore,Cosynch,68,36.7,Luciana Reis,0.5034,Prenha
BOV-0019,Jade,Bovino,Canchim,Linhagem G,2021-06-24,1.9,493.6,4,0,,Sítio Mandacaru,Monsenhor Tabosa,2023-05-08,5,2023,2,Seca,IA Convencional,Bonsmara,REP-071,Grupo Nelore,IATF 7 dias,16,24.5,Ana Lima,0.6093,Prenha
OVI-0004,Chuva,Ovino,Dorper,Linhagem H,2019-12-12,4.6,42.8,2,1,191,Sítio Riacho Seco,Nova Russas,2024-07-18,7,2024,3,Seca,IATF,Texel,REP-077,Sexing Tech,Cosynch,20,34.3,Ana Lima,0.5308,Prenha
BOV-0020,Cida,Bovino,Nelore,Linhagem F,2017-06-02,6.1,446.0,4,1,281,Sítio Riacho Seco,Ararendá,2023-07-16,7,2023,3,Seca,IATF,Nelore,REP-024,CRV Lagoa,Resynch,18,37.2,Carlos Melo,0.4936,Nao_Prenha
BOV-0021,Flor,Bovino,Gir,Sem registro,2020-06-29,4.3,468.8,2,0,,Sítio Três Irmãos,Catunda,2024-10-04,10,2024,4,Seca,IA Convencional,Simmental,REP-078,Grupo Nelore,Cosynch,108,30.4,Maria Souza,0.7079,Nao_Prenha
BOV-0022,Linda,Bovino,Gir,Linhagem G,2019-06-04,2.9,342.3,3,0,,Fazenda Boa Esperança,Quiterianópolis,2022-05-04,5,2022,2,Seca,IATF,Senepol,REP-077,Geneal,Ovsynch,25,23.3,Maria Souza,0.6317,Prenha
BOV-0023,Terra,Bovino,Brahman,Linhagem A,2021-02-02,1.3,516.3,4,0,,Fazenda Bela Vista,Ipaporanga,2022-05-26,5,2022,2,Seca,IATF,Brahman,REP-022,Insitec,IATF 7 dias,59,20.5,Pedro Alves,0.6029,Nao_Prenha
BOV-0024,Palma,Bovino,Sindi,Linhagem D,2019-05-30,4.8,442.0,4,0,,Fazenda Boa Esperança,Ipaporanga,2024-04-04,4,2024,2,Chuvosa,IA Convencional,Simmental,REP-074,Grupo Nelore,IATF 7 dias,118,27.5,Juliana Pinto,0.7376,Nao_Prenha
OVI-0005,Sofia,Ovino,Texel,Linhagem F,2016-06-13,6.5,60.0,5,1,253,Fazenda Poço Fundo,Monsenhor Tabosa,2022-12-25,12,2022,4,Chuvosa,IA Convencional,Ile de France,REP-014,Insitec,Sem protocolo,86,35.9,Luciana Reis,0.613,Prenha
CAP-0011,Bonita,Caprino,Toggenburg,Linhagem D,2021-02-05,1.4,40.0,5,0,,Fazenda Poço Fundo,Crateús,2022-06-30,6,2022,2,Seca,IA Convencional,Saanen,REP-067,Sexing Tech,Resynch,115,29.3,Marcos Farias,0.4374,Nao_Prenha
OVI-0006,Nuvem,Ovino,Dorper,Linhagem H,2018-12-29,3.7,69.9,4,0,,Fazenda Palmeira,Crateús,2022-09-26,9,2022,3,Seca,IATF,Suffolk,REP-053,CRV Lagoa,IATF 7 dias,85,31.4,Pedro Alves,0.9003,Prenha
BOV-0025,Graça,Bovino,Sindi,Linhagem B,2021-08-03,2.0,530.4,5,0,,Fazenda Palmeira,Independência,2023-08-21,8,2023,3,Seca,IA Convencional,Gir,REP-036,Insitec,Sem protocolo,63,30.1,Ana Lima,0.6546,Prenha
CAP-0012,Sofia,Caprino,Canindé,Linhagem H,2016-01-11,7.6,59.0,4,5,280,Sítio Boa Sorte,Catunda,2023-08-03,8,2023,3,Seca,IATF,Saanen,REP-049,Geneal,Sem protocolo,115,21.3,Luciana Reis,0.876,Prenha
BOV-0026,Jade,Bovino,Canchim,Linhagem G,2016-06-27,7.3,554.0,3,5,107,Sítio Boa Sorte,Ipaporanga,2023-10-14,10,2023,4,Seca,IATF,Bonsmara,REP-013,Grupo Nelore,Sem protocolo,68,39.2,Marcos Farias,0.4273,Prenha
BOV-0027,Graça,Bovino,Sindi,Linhagem A,2016-11-02,7.8,467.0,3,0,,Sítio Riacho Seco,Catunda,2024-08-19,8,2024,3,Seca,IATF,Brahman,REP-080,CRV Lagoa,Sem protocolo,114,25.2,Roberto Neto,0.5535,Nao_Prenha
OVI-0007,Linda,Ovino,Texel,Linhagem D,2017-02-07,5.5,61.8,5,0,,Fazenda Poço Fundo,Independência,2022-07-25,7,2022,3,Seca,IA Convencional,Dorper,REP-068,Geneal,Sem protocolo,46,35.5,Fernanda Costa,0.4673,Prenha
BOV-0028,Glória,Bovino,Girolando,Linhagem F,2018-09-13,6.1,418.3,3,2,34,Sítio Três Irmãos,Ararendá,2024-10-16,10,2024,4,Seca,IA Convencional,Angus,REP-076,Sexing Tech,Ovsynch,120,35.7,Marcos Farias,0.5298,Prenha
CAP-0013,Rita,Caprino,Boer,Linhagem G,2017-03-12,6.1,41.3,3,2,41,Fazenda Boa Esperança,Poranga,2023-05-01,5,2023,2,Seca,IA Convencional,Alpino,REP-037,Insitec,Sem protocolo,111,32.5,João Silva,0.5586,Nao_Prenha
BOV-0029,Lua,Bovino,Gir,Linhagem C,2018-10-23,4.0,473.9,3,1,47,Sítio Boa Sorte,Quiterianópolis,2022-10-08,10,2022,4,Seca,IATF,Bonsmara,REP-026,Alta Genetics,IATF 7 dias,79,26.0,Maria Souza,0.8514,Prenha
BOV-0030,Rita,Bovino,Gir,Linhagem H,2019-04-23,4.6,568.9,3,1,233,Fazenda Boa Esperança,Nova Russas,2023-11-25,11,2023,4,Chuvosa,IA Convencional,Gir,REP-016,Geneal,P4+BE+PGF,113,35.7,Maria Souza,0.8587,Prenha
OVI-0008,Glória,Ovino,Bergamácia,Linhagem C,2020-03-01,2.4,52.3,4,0,,Fazenda Poço Fundo,Ipaporanga,2022-08-10,8,2022,3,Seca,IA Convencional,Dorper,REP-006,CRV Lagoa,IATF 7 dias,83,22.9,Luciana Reis,0.6748,Prenha
OVI-0009,Glória,Ovino,Bergamácia,Linhagem A,2021-02-01,3.0,50.0,4,0,,Fazenda Poço Fundo,Nova Russas,2024-01-30,1,2024,1,Chuvosa,IA Convencional,Ile de France,REP-048,Alta Genetics,Sem protocolo,118,27.1,Luciana Reis,0.5594,Prenha
BOV-0031,Eva,Bovino,Guzerá,Linhagem F,2017-02-10,6.9,399.4,3,0,,Fazenda Boa Esperança,Crateús,2024-01-23,1,2024,1,Chuvosa,IA Convencional,Nelore,REP-032,Alta Genetics,Sem protocolo,113,36.1,Ana Lima,0.6573,Prenha
BOV-0032,Orquídea,Bovino,Nelore,Linhagem F,2019-09-07,3.1,537.5,3,0,,Fazenda Bela Vista,Crateús,2022-10-30,10,2022,4,Seca,IATF,Brahman,REP-031,Grupo Nelore,P4+EB,74,23.5,Maria Souza,0.8756,Prenha
BOV-0033,Fada,Bovino,Gir,Linhagem E,2020-09-20,4.2,299.1,4,1,292,Fazenda Boa Esperança,Catunda,2024-12-13,12,2024,4,Chuvosa,IATF,Bonsmara,REP-059,Próprio,Sem protocolo,80,20.4,Ana Lima,0.953,Prenha
OVI-0010,Sara,Ovino,Santa Inês,Linhagem E,2020-12-21,1.4,58.2,2,0,,Sítio Mandacaru,Catunda,2022-05-31,5,2022,2,Seca,IATF,Texel,REP-059,Grupo Nelore,P4+BE+PGF,84,31.9,Fernanda Costa,0.6313,Prenha
OVI-0011,Nuvem,Ovino,Morada Nova,Linhagem B,2020-10-27,3.7,46.6,4,1,78,Sítio Riacho Seco,Ipaporanga,2024-07-13,7,2024,3,Seca,IA Convencional,Suffolk,REP-011,CRV Lagoa,Ovsynch,45,27.4,Fernanda Costa,0.8273,Prenha
OVI-0012,Chuva,Ovino,Dorper,Linhagem B,2017-05-15,6.9,69.3,4,2,189,Sítio Riacho Seco,Tamboril,2024-04-21,4,2024,2,Chuvosa,IATF,Suffolk,REP-045,Insitec,Ovsynch,50,20.3,Ana Lima,0.97,Prenha
BOV-0034,Orquídea,Bovino,Sindi,Linhagem C,2020-10-23,1.3,334.1,4,0,,Fazenda Poço Fundo,Ipaporanga,2022-02-23,2,2022,1,Chuvosa,IATF,Nelore,REP-004,CRV Lagoa,Sem protocolo,48,25.7,Pedro Alves,0.6513,Prenha
BOV-0035,Beleza,Bovino,Nelore,Linhagem E,2022-05-13,0.1,327.2,4,0,,Sítio Riacho Seco,Quiterianópolis,2022-06-23,6,2022,2,Seca,IA Convencional,Angus,REP-028,Insitec,Sem protocolo,39,27.7,Luciana Reis,0.7509,Prenha
BOV-0036,Terra,Bovino,Sindi,Linhagem B,2021-06-16,3.5,346.2,5,0,,Fazenda Caatinga Verde,Monsenhor Tabosa,2024-12-15,12,2024,4,Chuvosa,IATF,Nelore,REP-001,Geneal,IATF 7 dias,5,22.5,Pedro Alves,0.422,Nao_Prenha
OVI-0013,Duna,Ovino,Bergamácia,Linhagem B,2016-10-22,7.4,50.8,4,0,,Fazenda Poço Fundo,Nova Russas,2024-03-24,3,2024,1,Chuvosa,IA Convencional,Santa Inês,REP-052,CRV Lagoa,P4+BE+PGF,115,24.9,Juliana Pinto,0.6337,Prenha
CAP-0014,Palma,Caprino,Boer,Linhagem H,2020-01-22,2.4,37.0,4,0,,Fazenda Bela Vista,Ipaporanga,2022-06-30,6,2022,2,Seca,IA Convencional,Anglo Nubiano,REP-015,Grupo Nelore,Sem protocolo,55,37.2,Ana Lima,0.4999,Prenha
CAP-0015,Graça,Caprino,Saanen,Linhagem F,2018-08-25,3.9,35.3,4,2,68,Sítio Mandacaru,Ararendá,2022-07-30,7,2022,3,Seca,IA Convencional,Saanen,REP-041,Alta Genetics,Sem protocolo,27,38.9,Luciana Reis,0.4712,Prenha
BOV-0037,Amora,Bovino,Guzerá,Linhagem H,2019-01-30,3.2,302.3,4,0,,Sítio Mandacaru,Poranga,2022-04-26,4,2022,2,Chuvosa,IA Convencional,Simmental,REP-050,Geneal,GnRH+PGF2α,12,26.1,Maria Souza,0.4334,Nao_Prenha
BOV-0038,Rita,Bovino,Nelore,Linhagem H,2021-08-15,1.2,311.1,5,0,,Sítio Riacho Seco,Ararendá,2022-11-05,11,2022,4,Chuvosa,IATF,Gir,REP-067,Grupo Nelore,Cosynch,96,19.9,João Silva,0.7983,Prenha
CAP-0016,Glória,Caprino,Canindé,Linhagem F,2020-08-01,3.3,29.9,4,1,63,Sítio Mandacaru,Independência,2023-11-24,11,2023,4,Chuvosa,IA Convencional,Alpino,REP-011,Grupo Nelore,IATF 7 dias,47,20.1,Carlos Melo,0.7273,Prenha
OVI-0014,Fada,Ovino,Somalis,Linhagem E,2016-12-13,6.8,59.7,3,1,299,Fazenda Boa Esperança,Monsenhor Tabosa,2023-09-27,9,2023,3,Seca,IA Convencional,Suffolk,REP-024,Alta Genetics,Sem protocolo,16,32.2,Marcos Farias,0.5085,Nao_Prenha
BOV-0039,Orquídea,Bovino,Gir,Linhagem C,2017-07-17,5.3,533.3,2,0,,Fazenda Poço Fundo,Independência,2022-11-14,11,2022,4,Chuvosa,IATF,Brahman,REP-024,Insitec,Sem protocolo,89,25.4,Pedro Alves,0.5873,Prenha
OVI-0015,Nina,Ovino,Morada Nova,Linhagem H,2019-03-13,5.3,42.3,5,3,129,Fazenda Caatinga Verde,Quiterianópolis,2024-07-08,7,2024,3,Seca,IATF,Ile de France,REP-068,Geneal,Resynch,52,32.9,Luciana Reis,0.7853,Nao_Prenha
CAP-0017,Fada,Caprino,Canindé,Linhagem G,2018-10-21,3.5,60.3,4,0,,Fazenda Bela Vista,Nova Russas,2022-04-17,4,2022,2,Chuvosa,IA Convencional,Toggenburg,REP-066,Alta Genetics,GnRH+PGF2α,96,36.6,Carlos Melo,0.6321,Nao_Prenha
CAP-0018,Estrela,Caprino,Boer,Linhagem A,2020-08-26,1.6,41.8,3,0,,Fazenda Bela Vista,Independência,2022-04-20,4,2022,2,Chuvosa,IA Convencional,Alpino,REP-037,Insitec,Sem protocolo,52,22.9,Maria Souza,0.6299,Nao_Prenha
BOV-0040,Rita,Bovino,Gir,Sem registro,2021-01-11,1.0,356.8,5,0,,Fazenda Boa Esperança,Tamboril,2022-01-11,1,2022,1,Chuvosa,IATF,Nelore,REP-080,Geneal,GnRH+PGF2α,19,35.1,Carlos Melo,0.4232,Nao_Prenha
BOV-0041,Viola,Bovino,Sindi,Linhagem H,2018-09-17,4.1,280.5,3,2,243,Sítio Três Irmãos,Catunda,2022-10-22,10,2022,4,Seca,IA Convencional,Gir,REP-065,Insitec,Sem protocolo,28,32.6,Marcos Farias,0.7196,Prenha
BOV-0042,Rita,Bovino,Guzerá,Linhagem F,2016-06-27,7.7,504.2,3,0,,Fazenda Bela Vista,Crateús,2024-03-03,3,2024,1,Chuvosa,IA Convencional,Brahman,REP-070,Sexing Tech,Sem protocolo,49,23.3,Juliana Pinto,0.6968,Nao_Prenha
BOV-0043,Joia,Bovino,Canchim,Linhagem A,2017-07-06,4.8,368.0,2,1,51,Sítio Riacho Seco,Nova Russas,2022-05-10,5,2022,2,Seca,IATF,Nelore,REP-025,Sexing Tech,Select Synch,45,38.5,Roberto Neto,0.3135,Nao_Prenha
BOV-0044,Chuva,Bovino,Guzerá,Sem registro,2019-01-24,3.6,546.8,4,1,203,Fazenda Caatinga Verde,Ipaporanga,2022-09-12,9,2022,3,Seca,IA Convencional,Gir,REP-011,Geneal,Select Synch,28,28.9,Fernanda Costa,0.8478,Prenha
OVI-0016,Amora,Ovino,Morada Nova,Linhagem C,2020-12-31,3.4,47.1,2,1,252,Sítio Boa Sorte,Catunda,2024-05-22,5,2024,2,Seca,IA Convencional,Suffolk,REP-004,Alta Genetics,P4+BE+PGF,40,32.1,Maria Souza,0.6076,Prenha
BOV-0045,Eva,Bovino,Nelore,Linhagem F,2020-01-23,4.1,326.0,4,1,220,Sítio Boa Sorte,Quiterianópolis,2024-02-24,2,2024,1,Chuvosa,IATF,Simmental,REP-036,Alta Genetics,Select Synch,61,34.8,Pedro Alves,0.7817,Prenha
CAP-0019,Dalila,Caprino,Canindé,Linhagem F,2018-12-08,4.5,35.9,4,3,132,Sítio Riacho Seco,Ipaporanga,2023-06-18,6,2023,2,Seca,IA Convencional,Toggenburg,REP-045,Próprio,Ovsynch,20,21.0,Luciana Reis,0.6652,Prenha
BOV-0046,Amora,Bovino,Guzerá,Linhagem H,2017-10-07,5.2,347.3,5,1,151,Sítio Boa Sorte,Ararendá,2022-12-23,12,2022,4,Chuvosa,IA Convencional,Simmental,REP-017,Grupo Nelore,Sem protocolo,106,28.9,Marcos Farias,0.6061,Nao_Prenha
BOV-0047,Jade,Bovino,Girolando,Linhagem H,2020-08-04,1.8,472.7,4,0,,Fazenda Bela Vista,Quiterianópolis,2022-06-01,6,2022,2,Seca,IATF,Brahman,REP-008,Insitec,Ovsynch,21,37.3,Juliana Pinto,0.6102,Prenha
BOV-0048,Íris,Bovino,Guzerá,Linhagem B,2019-08-14,3.6,548.5,5,1,130,Sítio Mandacaru,Catunda,2023-04-07,4,2023,2,Chuvosa,IA Convencional,Simmental,REP-065,Próprio,IATF 7 dias,86,39.0,Pedro Alves,0.7047,Prenha
OVI-0017,Chuva,Ovino,Santa Inês,Linhagem H,2022-04-27,-0.1,34.0,4,0,,Fazenda Boa Esperança,Ararendá,2022-03-26,3,2022,1,Chuvosa,IATF,Santa Inês,REP-038,Próprio,Sem protocolo,88,22.6,Roberto Neto,0.484,Prenha
CAP-0020,Hera,Caprino,Anglo Nubiana,Linhagem F,2019-05-03,5.2,33.8,3,3,134,Fazenda Poço Fundo,Independência,2024-07-17,7,2024,3,Seca,IA Convencional,Anglo Nubiano,REP-066,Grupo Nelore,Sem protocolo,48,31.3,Fernanda Costa,0.7264,Prenha
BOV-0049,Brisa,Bovino,Tabapuã,Linhagem G,2016-07-26,7.1,464.6,3,1,197,Fazenda Palmeira,Ararendá,2023-08-18,8,2023,3,Seca,IATF,Senepol,REP-040,Geneal,Resynch,78,33.9,Pedro Alves,0.9108,Prenha
BOV-0050,Palma,Bovino,Guzerá,Sem registro,2018-09-13,4.5,295.2,4,3,176,Fazenda Caatinga Verde,Monsenhor Tabosa,2023-03-17,3,2023,1,Chuvosa,IA Convencional,Nelore,REP-047,CRV Lagoa,Ovsynch,73,18.2,Roberto Neto,0.8409,Prenha
BOV-0051,Glória,Bovino,Sindi,Linhagem C,2021-08-27,2.9,576.7,4,0,,Fazenda Palmeira,Monsenhor Tabosa,2024-07-11,7,2024,3,Seca,IA Convencional,Senepol,REP-026,Grupo Nelore,Sem protocolo,21,39.5,Fernanda Costa,0.6303,Prenha
BOV-0052,Bonita,Bovino,Canchim,Linhagem F,2017-07-15,6.3,417.1,4,4,101,Sítio Mandacaru,Nova Russas,2023-11-14,11,2023,4,Chuvosa,IA Convencional,Simmental,REP-065,Insitec,P4+BE+PGF,46,38.5,Pedro Alves,0.6731,Prenha
CAP-0021,Eva,Caprino,Boer,Linhagem G,2019-09-18,2.9,39.4,5,0,,Fazenda Boa Esperança,Poranga,2022-08-13,8,2022,3,Seca,IATF,Alpino,REP-022,Grupo Nelore,Cosynch,81,28.4,Juliana Pinto,0.6142,Prenha
OVI-0018,Bonita,Ovino,Santa Inês,Linhagem H,2017-03-26,5.8,45.5,3,1,240,Fazenda Palmeira,Tamboril,2023-01-26,1,2023,1,Chuvosa,IA Convencional,Suffolk,REP-042,Próprio,Ovsynch,69,35.0,João Silva,0.7172,Prenha
CAP-0022,Chuva,Caprino,Canindé,Linhagem F,2022-02-15,1.9,50.6,3,0,,Sítio São Francisco,Ararendá,2023-12-27,12,2023,4,Chuvosa,IATF,Saanen,REP-062,Sexing Tech,IATF 7 dias,40,30.3,Carlos Melo,0.6731,Prenha
OVI-0019,Cida,Ovino,Dorper,Linhagem E,2020-04-04,4.0,44.5,3,2,70,Sítio São Francisco,Catunda,2024-03-19,3,2024,1,Chuvosa,IA Convencional,Dorper,REP-072,Próprio,Cosynch,49,38.3,Luciana Reis,0.625,Prenha
BOV-0053,Anita,Bovino,Nelore,Linhagem G,2018-07-13,4.8,404.0,4,0,,Fazenda Poço Fundo,Ararendá,2023-04-22,4,2023,2,Chuvosa,IA Convencional,Nelore,REP-026,Insitec,Ovsynch,92,35.0,Marcos Farias,0.6825,Prenha
